USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
5,4.6724,5,4,4,4,5,5
5,4.4408,4,4,4,4,5,4
5,4.6724,5,4,4,4,5,5
5,4.5758,4,4,4,4,5,5
4,4.6724,5,4,4,4,5,5
4,3.9381,4,4,4,4,4,4
5,4.7057,5,4,5,4,5,4
4,4.4408,4,4,4,4,5,4
4,4.4408,4,4,4,4,5,4
5,4.9691,5,5,4,5,5,5
5,4.4408,4,4,4,4,5,4
5,4.6724,5,4,4,4,5,5
4,4.8407,5,4,5,4,5,5
5,4.7693,5,4,4,5,5,4
5,5.1374,5,5,5,5,5,5
5,4.5056,4,5,4,4,5,4
4,4.6022,5,5,4,4,5,4
5,5.1374,5,5,5,5,5,5
5,4.8077,4,4,4,5,5,5
4,3.9381,4,4,4,4,4,4
5,4.6739,4,5,5,4,5,4
5,4.7441,4,4,5,4,5,5
5,4.6739,4,5,5,4,5,4
4,4.1697,5,4,4,4,4,5
5,4.6406,4,5,4,4,5,5
5,4.0731,4,4,4,4,4,5
4,4.6727,4,4,4,5,5,4
4,4.1697,5,4,4,4,4,5
3,3.8675,4,4,3,4,5,1
5,4.7693,5,4,4,5,5,4
4,4.4408,4,4,4,4,5,4
5,4.6739,4,5,5,4,5,4
5,4.841,4,4,5,5,5,4
5,4.841,4,4,5,5,5,4
5,4.6406,4,5,4,4,5,5
2,2.635,4,4,2,2,3,4
5,5.1374,5,5,5,5,5,5
5,4.6022,5,5,4,4,5,4
4,4.5374,5,4,4,4,5,4
5,4.7057,5,4,5,4,5,4
5,4.5374,5,4,4,4,5,4
3,3.3004,4,4,4,4,3,3
5,5.1374,5,5,5,5,5,5
5,4.6022,5,5,4,4,5,4
5,4.6022,5,5,4,4,5,4
5,4.5056,4,5,4,4,5,4
3,3.2671,4,4,3,4,3,4
5,4.8077,4,4,4,5,5,5
5,4.6724,5,4,4,4,5,5
5,4.841,4,4,5,5,5,4
5,4.7441,4,4,5,4,5,5
5,4.6091,4,4,5,4,5,4
5,4.7375,4,5,4,5,5,4
5,4.8077,4,4,4,5,5,5
5,4.7693,5,4,4,5,5,4
5,4.6724,5,4,4,4,5,5
5,4.6406,4,5,4,4,5,5
4,3.6348,4,4,3,4,4,3
5,4.841,4,4,5,5,5,4
5,4.841,4,4,5,5,5,4
5,4.7441,4,4,5,4,5,5
5,4.7441,4,4,5,4,5,5
5,4.6724,5,4,4,4,5,5
5,4.7375,4,5,4,5,5,4
5,4.841,4,4,5,5,5,4
5,4.7375,4,5,4,5,5,4
5,4.6406,4,5,4,4,5,5
5,4.6022,5,5,4,4,5,4
5,4.841,4,4,5,5,5,4
5,4.7375,4,5,4,5,5,4
5,4.7057,5,4,5,4,5,4
5,4.8077,4,4,4,5,5,5
5,4.7375,4,5,4,5,5,4
5,3.8733,4,3,4,4,4,4
2,1.8318,2,4,4,4,1,1
5,4.7375,4,5,4,5,5,4
4,3.9381,4,4,4,4,4,4
5,4.6091,4,4,5,4,5,4
4,3.8412,4,4,4,3,4,5
5,4.6406,4,5,4,4,5,5
4,4.0029,4,5,4,4,4,4
5,4.5374,5,4,4,4,5,4
4,4.3772,4,4,5,3,5,4
4,3.8346,4,5,3,4,4,4
4,3.9381,4,4,4,4,4,4
2,3.4998,4,4,3,4,4,2
5,4.5056,4,5,4,4,5,4
4,4.0347,5,4,4,4,4,4
5,4.8077,4,4,4,5,5,5
4,4.0347,5,4,4,4,4,4
5,4.8077,4,4,4,5,5,5
5,4.6739,4,5,5,4,5,4
5,4.5758,4,4,4,4,5,5
4,4.0347,5,4,4,4,4,4
5,4.7693,5,4,4,5,5,4
5,4.841,4,4,5,5,5,4
5,4.6739,4,5,5,4,5,4
5,4.6727,4,4,4,5,5,4
5,4.841,4,4,5,5,5,4
5,4.6739,4,5,5,4,5,4
5,4.6406,4,5,4,4,5,5
5,4.6739,4,5,5,4,5,4
5,4.5374,5,4,4,4,5,4
5,4.7057,5,4,5,4,5,4
4,4.1064,4,4,5,4,4,4
4,4.4408,4,4,4,4,5,4
5,4.6406,4,5,4,4,5,5
5,4.8077,4,4,4,5,5,5
5,4.7375,4,5,4,5,5,4
5,4.6406,4,5,4,4,5,5
5,4.5758,4,4,4,4,5,5
5,4.6406,4,5,4,4,5,5
4,4.7693,5,4,4,5,5,4
5,4.5374,5,4,4,4,5,4
5,4.841,4,4,5,5,5,4
5,4.841,4,4,5,5,5,4
5,4.6724,5,4,4,4,5,5
5,4.203,5,4,5,4,4,4
5,4.6022,5,5,4,4,5,4
3,4.0029,4,5,4,4,4,4
2,2.2686,3,3,4,4,1,4
5,4.6739,4,5,5,4,5,4
5,4.8077,4,4,4,5,5,5
3,3.2035,4,4,4,3,3,4
5,4.1379,4,5,4,4,4,5
4,4.6022,5,5,4,4,5,4
5,4.7375,4,5,4,5,5,4
4,4.4408,4,4,4,4,5,4
5,4.6406,4,5,4,4,5,5
5,4.8077,4,4,4,5,5,5
5,4.6022,5,5,4,4,5,4
5,4.7375,4,5,4,5,5,4
5,4.6739,4,5,5,4,5,4
5,4.6406,4,5,4,4,5,5
4,3.9381,4,4,4,4,4,4
5,4.7375,4,5,4,5,5,4
4,4.0347,5,4,4,4,4,4
4,4.1697,5,4,4,4,4,5
3,3.0352,4,4,3,3,3,4
5,4.5374,5,4,4,4,5,4
5,4.8077,4,4,4,5,5,5
5,4.7441,4,4,5,4,5,5
3,3.7698,4,4,3,4,4,4
5,4.7693,5,4,4,5,5,4
5,4.17,4,4,4,5,4,4
5,4.7441,4,4,5,4,5,5
5,4.7693,5,4,4,5,5,4
5,4.8077,4,4,4,5,5,5
4,4.0731,4,4,4,4,4,5
5,4.7693,5,4,4,5,5,4
4,3.9381,4,4,4,4,4,4
3,3.7647,5,4,4,4,4,2
3,3.2035,4,4,4,3,3,4
4,3.9381,4,4,4,4,4,4
4,4.511,4,3,4,4,5,5
4,4.5374,5,4,4,4,5,4
4,4.3058,4,4,4,4,5,3
5,4.8077,4,4,4,5,5,5
4,4.1064,4,4,5,4,4,4
3,3.2035,4,4,4,3,3,4
5,4.7441,4,4,5,4,5,5
4,3.6096,3,4,4,3,4,4
3,3.1126,2,2,4,4,3,4
5,4.6724,5,4,4,4,5,5
5,4.6724,5,4,4,4,5,5
5,4.6727,4,4,4,5,5,4
5,4.6724,5,4,4,4,5,5
4,4.1697,5,4,4,4,4,5
4,3.9381,4,4,4,4,4,4
5,4.841,4,4,5,5,5,4
5,4.7375,4,5,4,5,5,4
5,4.7693,5,4,4,5,5,4
